iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
BHS,2019,10787652.487874776,2486101.575422615,11.667463,29006498.145485066,3830108.769156916,882679.4759790109,40.712147,35935776.57994046,0.23045807029999998
BHR,2019,1764277.1447932376,406591.9062634432,9.4544859,3844117.4448218453,333718.54153222684,76908.1311048474,32.990242,2537217.856916643,0.23045807029999998
GUF,2019,112396416.42605866,25902661.2381847,6.349662612,164473159.61540303,78955063.9644889,18195831.681669176,22.15634831,403153184.52919525,0.23045807029999998
SLE,2019,1211751853.5446856,633857001.6359276,0.29274136,185556160.70442367,267759539.9336931,140062718.81929275,1.0214841,143071840.2766783,0.5230914232
GMB,2019,53578904.98554852,21726878.79208671,0.25602508,5562625.880894303,19949886.660563655,8089914.66896991,0.89336723,7227264.658754014,0.405511811
PER,2019,2457285578.275727,171077759.28655958,2.4406421,417539581.68844324,1023844597.8867272,71280701.44253127,8.5163155,607048942.5459014,0.06962062562
VCT,2019,347315.8713127787,80041.74548730609,3.031496,242646.2312777865,207624.00215269625,47848.62688407342,10.578025,506143.97139540076,0.23045807029999998
AND,2019,1488827.1640623312,343112.2352400263,14.309433,4909741.541647396,622836.5087721348,143537.6999240152,49.930969,7166976.445237305,0.23045807029999998
NIC,2019,247876081.9503967,38651512.3634886,0.67930752,26256263.00789078,151142752.26270807,23567808.203870174,2.3703582,55864147.43207094,0.1559307863
DNK,2019,0.0,0.0,20.603167,0.0,0.0,0.0,71.892143,0.0,0.4321757656
CRI,2019,96685475.4000085,22869975.022358976,4.4687905,102201127.11515507,59006646.56472445,13957427.705716114,15.593283,217642120.1672721,0.23653992420000003
MWI,2019,318343638.2752342,33575305.59934111,0.20146978,6764409.432532021,120823581.87133199,12743112.150492046,0.70300347,8958452.06039507,0.10546875
GLP,2019,2806889.8763794643,646870.4244550169,6.349662612,4107408.948970591,1713014.0920773447,394777.9220568513,22.15634831,8746837.146189628,0.23045807029999998
CAN,2019,4273620830.4437313,583528186.2701713,16.07655,9381120062.981722,2160259654.1859837,294965896.108497,56.097088,16546727830.997215,0.1365418715
FJI,2019,17618868.789174177,4060410.502021978,2.0639241,8380379.091016259,15915111.90866071,3667765.979078497,7.2018037,26414530.598861642,0.23045807029999998
EGY,2019,3405911673.142739,470553945.959828,1.0276521,483565750.72890383,281247304.96909285,38856565.24429412,3.5858629,139334315.73094374,0.1381580003
TUR,2019,3413428524.7065167,786652150.9108397,3.1961868,2514287220.9328337,1482115043.6598113,341565372.9244403,11.152693,3809373743.656795,0.23045807029999998
UZB,2019,19479604255.079857,886220934.0036463,0.70801264,627455623.1071873,2660040742.408275,121018053.56800613,2.4705212,298977666.92249477,0.04549481203
CIV,2019,969551819.7141898,223441041.42718565,0.74282879,165978438.4396962,502122717.2902983,115718232.48051459,2.5920079,299942572.76353043,0.23045807029999998
GTM,2019,239421656.64773402,60141717.54778141,1.5648946,94115449.02524836,134771629.50882283,33854068.962940566,5.4605026,184860231.59271625,0.2511958124
FRO,2019,NA,NA,21.873531,NA,NA,NA,76.324928,NA,0.23045807029999998
TUV,2019,NA,NA,1.7740782,NA,NA,NA,6.190423,NA,0.23045807029999998
CAF,2019,914914529.0538146,758432595.7708899,0.15580572,118168136.65555246,560096350.0639396,464300560.51258594,0.54366446,252423713.50877237,0.8289655172
DEU,2019,726212678.7635754,278837187.3827858,16.51737,4605656993.760804,294290360.20074785,112995956.5728795,57.635277,6512553256.957881,0.3839607811
BGR,2019,631060317.3596323,101989690.55323619,3.597595,366917600.7858698,288749591.35778433,46666666.65584518,12.553356,585823279.8641541,0.1616163903
MNP,2019,90517.56924122246,20860.50433557876,8.4961729,177234.45161627675,51805.63952574134,11939.027715759756,29.646328,353948.33166250447,0.23045807029999998
AUT,2019,421990819.665267,78842721.93089958,17.301935,1364131650.0714989,176154449.7872196,32911844.65216814,60.372917,1986984065.502241,0.1868351591
AUS,2019,19258384046.819836,3434905182.3234363,19.066156,65490438051.38708,4109771049.3795424,733014454.4504358,66.528946,48766679057.3525,0.1783589513
TUN,2019,1046878827.6659043,216934633.08915,1.2239172,265510028.71349984,239539689.1333355,49637506.46126628,4.2707052,211987156.9591635,0.20722038439999999
HND,2019,212408981.0641297,41635861.26017369,0.86788112,36134977.90264416,125562415.60220498,24612421.232449148,3.028362,74535321.18834217,0.1960174238
BOL,2019,2113863045.468163,487156798.337074,1.2152547,592019588.8160814,852885557.6912692,196554359.8122692,4.240478,833484438.5880117,0.23045807029999998
BGD,2019,664979185.2413317,66738920.21395041,0.73867744,49298534.73200514,301953538.72630054,30304787.843939885,2.5775223,78111266.46452397,0.1003624199
LTU,2019,0.0,0.0,6.8009124,0.0,0.0,0.0,23.73093,0.0,0.3969376149
PLW,2019,659916.8134465605,152083.1553854194,5.4941955,835574.5879443721,355887.2212656706,82017.08225731556,19.171307,1572374.6631992494,0.23045807029999998
FRA,2019,3132836954.1706696,634535814.8852953,14.014795,8892889365.775362,1270908410.5756009,257414259.2628622,48.90287,12588296056.878046,0.202543517
SSD,2019,1029664540.8667953,237294503.14449713,6.349662612,1506740034.64973,363617817.33068496,83798660.50872755,22.15634831,1856672310.1428094,0.23045807029999998
NPL,2019,418196468.09718084,6499436.532743251,0.4172855,2712120.6232840335,207162504.37631217,3219633.9564615837,1.4560653,4687997.2827054225,0.015541586380000002
MEX,2019,3931092315.9307632,581455127.1423728,3.5964699,2091185862.9682171,1401996683.2299364,207371919.60541216,12.54943,2602399389.053747,0.1479118475
FIN,2019,0.0,0.0,16.772043,0.0,0.0,0.0,58.523922,0.0,0.1641241577
MNG,2019,5933824176.350978,701231331.730899,1.5078579,1057357203.2779567,1024392949.1382663,121057923.2871225,5.2614803,636943878.5341063,0.11817527970000001
JAM,2019,11724718.399724187,4493482.728128936,1.9447569,8738731.540559573,9252983.322091341,3546193.548022495,6.7859845,24064414.450880658,0.38324866960000004
MNE,2019,46067715.28888746,3028488.8182980726,3.0668354,9287876.716460697,20905937.154123813,1374355.0447481985,10.701338,14707437.865855597,0.06573993955
