iso_code,country,year,wue_industrial_usdpm3,wue_irrigation_usdpm3,wue_municipal_usdpm3,wue_general_usdpm3,w_agriculture,w_industry,w_munucipal,gep_water_agricultural,gep_water_industrial,gep_water_municipal
CIV,Cote d'Ivoire,2000,19.950946195,0.126860034,19.245609712,11.238020919,6e+08,269600000,539200000,76116020.4,5378775094.172,10377232756.7104
CIV,Cote d'Ivoire,2005,,,,,595300000,3.18e+08,635900000,,,
CIV,Cote d'Ivoire,2010,19.267177379,0.130247591,27.617974182,13.582829287,595300000,,,77536390.9223,,
CIV,Cote d'Ivoire,2015,35.276888273,0.215299662,79.548518762,29.364640932,,,,,,
CMR,Cameroon,2000,68.154824766,0.030365494,49.388330476,13.073069061,7.37e+08,68300000,161100000,22379369.078,4654974531.5178,7956460039.6836
CMR,Cameroon,2005,,,,,,104600000,246800000,,,
CMR,Cameroon,2010,59.309446293,0.042803768,53.479558627,17.855631687,,,,,,
CMR,Cameroon,2015,71.973032151,0.054113074,66.851497978,22.112468026,,,,,,
COD,Democratic Republic of Congo,2000,,,,,71900000,122900000,389300000,,,
COD,Democratic Republic of Congo,2005,,,,,71900000,146800000,464900000,,,
COD,Democratic Republic of the Congo,2000,27.721893294,0.218318878,19.714601795,18.999507434,,,,,,
COD,Democratic Republic of the Congo,2010,61.592061894,0.248447286,22.122546392,28.29776165,,,,,,
COD,Democratic Republic of the Congo,2015,99.160189986,0.309509992,29.704029978,41.527754821,,,,,,
COG,Congo,2000,498.233761703,0.116173702,60.295586692,152.821288879,4e+06,1e+07,3.2e+07,464694.808,4982337617.03,1929458774.144
COG,Congo,2005,,,,,,2.4e+07,63700000,,,
COG,Congo,2010,284.119573089,0.123470358,44.42032776,105.222884557,,,,,,
COG,Congo,2015,231.197973417,0.208426105,78.713065714,115.197462949,,,,,,
COL,Colombia,2000,110.024418275,0.28266302,37.668559729,17.275730063,4.92e+09,3.59e+08,2.467e+09,1390702058.4,39498766160.725,92928336851.443
COL,Colombia,2010,25.09595542,0.316669816,39.129602305,12.53813872,6.391e+09,2.242e+09,3.134e+09,2023836794.056,56265132051.64,122632173623.87
COL,Colombia,2015,21.143689084,0.13289205,43.488487033,9.410749837,,,,,,
COM,Comoros,2000,140.851516163,0.06551541,69.966944127,40.657501232,4700000,5e+05,4800000,307922.427,70425758.0815,335841331.8096
COM,Comoros,2010,155.681752153,0.062046716,85.630550156,48.915913639,,,,,,
COM,Comoros,2015,195.89377,0.081104098,112.057503542,63.620409126,,,,,,
CPV,Cape Verde,2000,,0.465967487,,,2e+07,4e+05,1600000,9319349.74,,
CPV,Cape Verde,2005,,,,,2.5e+07,,,,,
CPV,Cape Verde,2010,141.048656346,0.191101166,11.473029941,8.886306732,,,,,,
CPV,Cape Verde,2015,94.025931174,0.176413871,8.15737141,6.349268992,,,,,,
CRI,Costa Rica,2000,,,24.825391042,,,,,,,
CRI,Costa Rica,2010,,,50.274584532,,,,,,,
CRI,Costa Rica,2015,40.485589042,0.377690271,60.742369344,15.698506102,1.33e+09,2.6e+08,7.6e+08,502328060.43,10526253150.92,46164200701.44
CUB,Cuba,2000,14.119429241,0.289903053,17.939946642,8.193063478,,,,,,
CUB,Cuba,2005,,,,,2.476e+09,760700000,1.7e+09,,,
CUB,Cuba,2010,21.546821453,0.154482593,33.090173691,12.122953662,3.569e+09,,,551348374.417,,
CUB,Cuba,2015,24.546130784,0.195397326,38.105283815,12.045713433,4.519e+09,7.4e+08,1.7e+09,883000516.194,18164136780.16,64778982485.5
CYP,Cyprus,2000,706.494693706,1.497391775,239.958311007,70.948451504,160600000,3500000,46100000,240481119.065,2472731427.971,11062078137.4227
CYP,Cyprus,2005,,,,,1.43e+08,8e+06,65600000,,,
CYP,Cyprus,2010,505.129606905,1.113978619,321.896558382,92.046122757,1.71e+08,6e+06,78800000,190490343.849,3030777641.43,25365448800.5016
CYP,Cyprus,2015,263.3848755,0.59379992,156.330244212,58.410865355,167600000,,84100000,99520866.592,,13147373538.2292
CZE,Czechia,2000,26.788924709,,82.445368151,,18700000,,,,,
CZE,Czechia,2005,,,,,29800000,,,,,
CZE,Czechia,2010,43.939788275,0.949315197,157.852846821,84.546109864,43200000,,,41010416.5104,,
