city,country_iso,iso3_r250_id,year,month,kwh_diff,price_usd_per_kwh,total_savings_usd
22_9681,ITA,380.0,2019,9,3945.1297646220073,0.168,662.7818004564973
22_9682,ITA,380.0,2019,6,6447.509175177638,0.168,1083.1815414298433
22_9682,ITA,380.0,2019,7,16938.698516090473,0.168,2845.7013507032
22_9682,ITA,380.0,2019,8,5418.756536667991,0.168,910.3510981602226
22_9682,ITA,380.0,2019,9,6366.719983746663,0.168,1069.6089572694395
22_9683,ITA,380.0,2019,6,11976.665819734922,0.168,2012.0798577154671
22_9683,ITA,380.0,2019,7,16418.81449478235,0.168,2758.3608351234348
22_9683,ITA,380.0,2019,8,17914.911298489187,0.168,3009.7050981461834
22_9683,ITA,380.0,2019,9,3064.425083900011,0.168,514.8234140952019
22_9684,ITA,380.0,2019,6,11416.602479333633,0.168,1917.98921652805
22_9684,ITA,380.0,2019,7,11727.551872637508,0.168,1970.2287146031013
22_9684,ITA,380.0,2019,8,12305.271336675709,0.168,2067.285584561519
22_9684,ITA,380.0,2019,9,4287.685775126457,0.168,720.3312102212448
22_9685,ITA,380.0,2019,5,895.5238804418186,0.168,150.44801191422553
22_9685,ITA,380.0,2019,6,9688.99604014868,0.168,1627.751334744978
22_9685,ITA,380.0,2019,7,18661.8307764251,0.168,3135.187570439417
22_9685,ITA,380.0,2019,8,11472.909608794162,0.168,1927.4488142774192
22_9685,ITA,380.0,2019,9,10531.173290562856,0.168,1769.23711281456
22_9686,ITA,380.0,2019,6,44141.837941335245,0.168,7415.828774144322
22_9686,ITA,380.0,2019,7,119281.13738076945,0.168,20039.231079969268
22_9686,ITA,380.0,2019,8,81332.7353315171,0.168,13663.899535694874
22_9686,ITA,380.0,2019,9,26185.8016162608,0.168,4399.214671531815
22_9687,ITA,380.0,2019,6,8473.958483977825,0.168,1423.6250253082746
22_9687,ITA,380.0,2019,7,11725.770868528856,0.168,1969.929505912848
22_9687,ITA,380.0,2019,8,7938.19288591079,0.168,1333.616404833013
22_9687,ITA,380.0,2019,9,3041.6385749263013,0.168,510.99528058761865
22_9688,ITA,380.0,2019,6,1110.6245312651838,0.168,186.58492125255088
22_9688,ITA,380.0,2019,7,3997.810889994768,0.168,671.6322295191211
22_9688,ITA,380.0,2019,8,2177.9233369711683,0.168,365.8911206111563
22_9688,ITA,380.0,2019,9,735.5264431399837,0.168,123.56844244751728
22_9689,ITA,380.0,2019,5,6606.916047753446,0.168,1109.961896022579
22_9689,ITA,380.0,2019,6,35141.43122838302,0.168,5903.760446368348
22_9689,ITA,380.0,2019,7,18777.14609580988,0.168,3154.56054409606
22_9689,ITA,380.0,2019,8,14723.827106878614,0.168,2473.6029539556075
22_9689,ITA,380.0,2019,9,8340.950920689473,0.168,1401.2797546758316
22_9690,ITA,380.0,2019,6,19927.50977508688,0.168,3347.821642214596
22_9690,ITA,380.0,2019,7,13543.60050413891,0.168,2275.324884695337
22_9690,ITA,380.0,2019,8,19627.644723705875,0.168,3297.4443135825877
22_9690,ITA,380.0,2019,9,10332.362747888845,0.168,1735.836941645326
22_9691,ITA,380.0,2019,5,22625.527939412437,0.168,3801.088693821289
22_9691,ITA,380.0,2019,6,13968.201922862272,0.168,2346.657923040862
22_9691,ITA,380.0,2019,7,27571.823830146885,0.168,4632.066403464677
22_9691,ITA,380.0,2019,8,24116.98260021997,0.168,4051.6530768369535
22_9691,ITA,380.0,2019,9,10965.443734536057,0.168,1842.1945474020572
22_9692,ITA,380.0,2019,6,33710.18433310398,0.168,5663.310967961469
22_9692,ITA,380.0,2019,7,6161.517520247191,0.168,1035.134943401528
22_9692,ITA,380.0,2019,8,20013.682855125902,0.168,3362.2987196611525
22_9692,ITA,380.0,2019,9,11811.794878390294,0.168,1984.3815395695692
22_9692,ITA,380.0,2019,10,12326.569784025858,0.168,2070.8637237163443
22_9693,ITA,380.0,2019,5,35113.36145395099,0.168,5899.044724263767
22_9693,ITA,380.0,2019,6,28254.5110895489,0.168,4746.757863044216
22_9693,ITA,380.0,2019,7,23294.86350242297,0.168,3913.5370684070585
22_9693,ITA,380.0,2019,8,28534.409607971174,0.168,4793.780814139158
22_9693,ITA,380.0,2019,9,20836.54916765463,0.168,3500.540260165978
22_9694,ITA,380.0,2019,5,1059.4824563486668,0.168,177.99305266657603
22_9694,ITA,380.0,2019,6,11312.723859911132,0.168,1900.5376084650704
22_9694,ITA,380.0,2019,7,12087.183953999243,0.168,2030.6469042718732
22_9694,ITA,380.0,2019,8,25690.79845251728,0.168,4316.054140022903
22_9694,ITA,380.0,2019,9,10884.851517098316,0.168,1828.6550548725168
22_9695,ITA,380.0,2019,5,38973.60300375699,0.168,6547.565304631175
22_9695,ITA,380.0,2019,6,33485.85428160035,0.168,5625.623519308859
22_9695,ITA,380.0,2019,7,26873.81515236077,0.168,4514.80094559661
22_9695,ITA,380.0,2019,8,28174.91358179119,0.168,4733.38548174092
22_9695,ITA,380.0,2019,9,26073.64262779976,0.168,4380.37196147036
22_9696,ITA,380.0,2019,6,12308.91766214599,0.168,2067.8981672405266
22_9696,ITA,380.0,2019,7,15398.983000722716,0.168,2587.0291441214167
22_9696,ITA,380.0,2019,8,28537.74788166464,0.168,4794.34164411966
22_9696,ITA,380.0,2019,9,11067.961698827416,0.168,1859.417565403006
22_9697,ITA,380.0,2019,5,15970.84100658165,0.168,2683.101289105717
22_9697,ITA,380.0,2019,6,9533.360192191996,0.168,1601.6045122882554
22_9697,ITA,380.0,2019,7,2862.505740527601,0.168,480.900964408637
22_9697,ITA,380.0,2019,8,4889.609403372615,0.168,821.4543797665993
22_9697,ITA,380.0,2019,9,2634.177086726152,0.168,442.5417505699936
22_9698,ITA,380.0,2019,6,8637.251169442505,0.168,1451.0581964663409
22_9698,ITA,380.0,2019,7,8723.414250194346,0.168,1465.5335940326502
22_9698,ITA,380.0,2019,8,11355.215918587508,0.168,1907.6762743227011
